AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
180,-3664,19008,-1200,-109,-907,1
132,-3800,19212,-1000,-98,-897,1
16,-3740,19172,-894,-12,-889,1
32,-3492,19144,-861,117,-835,1
788,-4304,19268,-1437,-1,-2064,1
856,-4416,19340,-1251,68,-2147,1
948,-4488,19476,-984,123,-2296,1
772,-4280,19396,-956,337,-2441,1
592,-4308,19276,-981,379,-2524,1
564,-4356,19216,-1027,360,-2631,1
432,-4048,19192,-976,396,-2647,1
496,-4108,19328,-964,456,-2576,1
316,-4128,19240,-848,502,-2496,1
344,-4168,19112,-877,585,-2514,1
-200,-4012,19332,-1245,155,-3159,1
36,-4112,19424,-1257,-78,-3074,1
324,-4032,19428,-1300,-220,-3209,1
420,-4160,19124,-1264,-95,-3209,1
568,-4032,19176,-1249,222,-3331,1
556,-4260,19416,-1152,564,-3347,1
408,-4336,19416,-978,845,-3126,1
48,-3980,19376,-905,966,-2928,1
-92,-4116,19500,-914,845,-2786,1
-60,-4016,19560,-952,649,-2876,1
672,-4324,19000,-169,915,-2785,1
912,-4232,18796,-278,830,-2972,1
1032,-4044,18696,-444,785,-3458,1
760,-4004,18740,-567,752,-3867,1
500,-3852,18756,-650,727,-3903,1
384,-3860,19084,-726,776,-3802,1
384,-4040,19184,-797,697,-3633,1
324,-4228,19012,-856,484,-3687,1
436,-4400,19208,-805,322,-3895,1
468,-4236,19104,-708,481,-4032,1
-544,-3724,18988,-406,1779,-3355,1
-476,-3784,19152,-434,1431,-3518,1
-348,-3692,19100,-543,1335,-3653,1
-120,-3704,19064,-458,1525,-3536,1
4,-3872,19088,-251,1951,-3215,1
256,-3672,19084,-148,2392,-2766,1
-124,-3800,19180,-78,2700,-2494,1
-104,-3704,19148,3,2800,-2393,1
-40,-3696,19116,32,2861,-2427,1
-184,-3708,19372,-2,2944,-2510,1
-624,-3992,19244,-161,1661,-2905,1
-784,-3796,19016,-139,1692,-2975,1
-684,-3464,18840,-111,1773,-2775,1
-576,-3404,18752,-89,1905,-2522,1
-592,-3152,18932,-288,2041,-2487,1
-884,-3440,18916,-432,1784,-2514,1
-564,-3660,19028,-592,1501,-2800,1
-512,-3828,19176,-608,1291,-3117,1
-488,-4012,18932,-590,1242,-3267,1
-296,-3852,18904,-397,1495,-3330,1
-924,-3528,19044,-596,1017,-3215,1
-1092,-3592,19364,-566,1092,-3240,1
-1696,-3324,19424,-599,745,-3448,1
-2160,-3260,19500,-758,-168,-3707,1
-2108,-3440,19612,-947,-915,-3911,1
-1716,-3744,19700,-961,-1262,-3848,1
-1408,-3760,19392,-777,-1096,-3617,1
-1228,-3792,19240,-507,-659,-3228,1
-1008,-3564,19196,-264,-30,-2785,1
-940,-3548,19024,-199,260,-2401,1
-1820,-3072,19192,-536,605,-2553,1
-1668,-2880,19112,-671,276,-2644,1
-1296,-3124,19060,-694,164,-2606,1
-1156,-3200,18992,-720,218,-2602,1
-1172,-3104,18840,-748,167,-2409,1
-1020,-3132,19288,-782,193,-2323,1
-792,-3332,19024,-713,47,-2243,1
-552,-3460,19140,-710,66,-2243,1
-416,-3524,18928,-699,178,-2505,1
-372,-3728,19000,-721,137,-2795,1
-672,-3496,19092,-282,1491,-2898,1
-600,-3492,19008,-242,1942,-2741,1
-648,-3656,18848,-191,2365,-2716,1
-1084,-3544,18772,-159,2383,-2966,1
-1532,-3396,19092,-318,2064,-3399,1
-1684,-3176,19360,-570,2063,-3525,1
-1768,-3164,19392,-493,2186,-3308,1
-1888,-3164,19584,-410,2362,-2882,1
-2256,-2756,19860,-364,2202,-2528,1
-2344,-3088,19860,-452,1554,-2491,1
-1328,-3172,19196,-88,1130,-3387,1
-1492,-3304,18968,-274,970,-3604,1
-1484,-3268,18960,-401,1032,-3803,1
-1468,-3496,19048,-406,1299,-3810,1
-1644,-3408,19148,-308,1545,-3697,1
-1980,-3212,19292,-186,1595,-3422,1
-2276,-3064,19288,-190,1402,-3287,1
-2116,-3028,19328,-319,1186,-3379,1
-2012,-3168,19440,-402,893,-3508,1
-2168,-3380,19488,-321,638,-3561,1
-2160,-2908,18956,-6,1642,-3309,1
-2272,-2660,18840,-109,1584,-3286,1
-2128,-2556,18908,-258,1666,-3070,1
-1992,-2464,18712,-341,1796,-2845,1
-1984,-2704,18584,-416,1828,-2912,1
-2044,-2984,18852,-522,1608,-3129,1
-2104,-3204,18732,-508,1386,-3451,1
-2160,-3192,18664,-480,1267,-3871,1
-2324,-2912,18468,-445,1235,-4108,1
-2620,-2272,18260,-759,1113,-4073,1
-2612,-2756,18516,-1501,2067,-2567,1
-2588,-2952,18408,-1397,2448,-2657,1
-2700,-2780,18380,-1289,3054,-2620,1
-3252,-2708,18796,-1239,3422,-2468,1
-3804,-2704,19040,-1064,3480,-2148,1
-4408,-2456,19268,-1030,3131,-1678,1
-4716,-2588,19576,-1098,2529,-1462,1
-4860,-2876,19636,-998,1765,-1365,1
-4848,-2928,19380,-1022,1186,-1365,1
-4700,-2880,19308,-881,827,-1251,1
-3452,-3268,19136,-572,86,-236,1
-3396,-3112,18936,-646,15,-243,1
-3172,-2928,18832,-709,-208,-156,1
-3088,-3020,18560,-707,-181,-17,1
-2864,-2924,18736,-789,25,194,1
-2900,-3016,18764,-808,38,343,1
-2568,-3152,18828,-843,36,208,1
-2456,-3252,18772,-748,67,238,1
-2396,-3272,18732,-721,177,41,1
-2612,-2984,18664,-815,83,-161,1
48,-5212,19628,-13,921,952,1
40,-5164,19668,87,747,1058,1
184,-5020,19420,159,556,1122,1
160,-5092,19456,121,388,1111,1
360,-5056,19388,37,434,1015,1
472,-4972,19344,-129,449,722,1
512,-4912,19436,-287,389,338,1
436,-4964,19324,-399,447,112,1
364,-4788,19348,-622,575,44,1
-20,-5172,19356,-504,406,-31,1
-28,-5232,18952,-1439,445,959,1
144,-5240,18892,-1355,62,838,1
268,-5068,18752,-1485,-181,552,1
412,-5376,18660,-1685,-69,350,1
728,-5344,18600,-1736,65,182,1
552,-5516,18600,-1682,113,217,1
544,-5432,18572,-1691,90,412,1
636,-5432,18760,-1794,38,417,1
660,-5676,18564,-1732,-299,162,1
912,-5700,18624,-1574,-598,-132,1
1160,-6084,18248,-1417,-966,-1297,1
1388,-5984,18388,-1292,-780,-1551,1
1384,-6072,18232,-1249,-485,-1701,1
1284,-5908,18280,-1083,-501,-1795,1
1368,-6044,18412,-1055,-352,-1926,1
1324,-5832,18168,-1056,-192,-2171,1
1464,-5920,18096,-1066,146,-2212,1
1312,-5920,18272,-1129,382,-2176,1
1152,-5872,18176,-1122,371,-2201,1
1192,-5720,18236,-1164,-2,-2441,1
1856,-6220,18780,-738,923,-3151,1
1732,-6336,18620,-535,1049,-3355,1
1796,-5972,18516,-448,1195,-3509,1
1532,-5676,18468,-540,1215,-3568,1
1444,-5808,18492,-640,961,-3666,1
1276,-5884,18616,-763,696,-3816,1
1492,-5832,18548,-901,461,-3962,1
1416,-5916,18832,-954,380,-3966,1
1488,-6240,18756,-904,431,-3888,1
1700,-6380,18936,-729,674,-3858,1
1724,-5736,18492,-1264,-265,-4281,1
1760,-5932,18636,-1208,125,-4196,1
1820,-5888,18416,-1078,566,-3984,1
1616,-5836,18316,-1045,984,-3775,1
1544,-5760,18292,-1078,1242,-3680,1
1232,-5656,18504,-1016,1096,-3648,1
1128,-5524,18348,-1083,921,-3592,1
968,-5684,18544,-1119,718,-3619,1
896,-5696,18396,-1113,450,-3673,1
872,-5768,18460,-1027,78,-3709,1
1632,-5556,18036,-1658,-1054,-3538,1
2336,-5672,17900,-1708,-729,-3691,1
2524,-5584,18060,-1660,-74,-3723,1
2508,-5744,17832,-1522,562,-3536,1
2388,-5868,18044,-1347,1260,-3516,1
2116,-5800,17984,-1262,1882,-3510,1
1896,-5632,18096,-1158,2238,-3318,1
1740,-5676,18224,-1059,2393,-3141,1
1488,-5636,18096,-1003,2363,-2892,1
1380,-5504,18476,-1022,2308,-2795,1
1144,-5640,18556,-618,3183,-2766,1
1044,-5528,18556,-674,3086,-2863,1
1084,-5664,18812,-716,2889,-2897,1
976,-5716,18872,-753,2833,-2902,1
1104,-5888,18724,-699,2871,-2995,1
940,-6100,18592,-661,2705,-3094,1
936,-5900,18504,-640,2575,-3395,1
836,-5848,18724,-694,2580,-3501,1
944,-5668,18580,-611,2671,-3379,1
724,-5504,18620,-655,2775,-3175,1
-44,-5420,18584,-1288,671,-4097,1
64,-5384,18688,-1402,385,-4205,1
40,-5528,18948,-1544,146,-4162,1
332,-5720,18744,-1485,180,-4064,1
440,-5860,18688,-1365,307,-3963,1
852,-5748,18716,-1253,523,-3850,1
604,-5784,18696,-1112,687,-3736,1
436,-5648,18532,-1114,598,-3733,1
248,-5504,18792,-1198,287,-3963,1
248,-5532,18716,-1388,-350,-4177,1
632,-5516,18664,-714,1299,-3336,1
396,-5456,18724,-788,1169,-3160,1
272,-5368,18768,-868,922,-2716,1
468,-5524,18664,-1013,617,-2425,1
784,-5568,18448,-1028,476,-2479,1
900,-5696,18172,-1018,389,-2442,1
856,-5484,18368,-1053,400,-2424,1
620,-5696,18476,-1016,6,-2346,1
816,-5636,18596,-1061,-246,-2438,1
916,-5820,18412,-1188,-573,-2642,1
212,-4508,18804,-991,-259,-1340,1
676,-4616,18560,-1089,-508,-1364,1
1020,-4640,18552,-1222,-497,-1394,1
1208,-4804,18536,-1183,-352,-1445,1
1332,-5136,18812,-916,-61,-1489,1
1404,-4916,18660,-778,462,-1267,1
1620,-5056,18596,-551,920,-1166,1
1424,-5068,18476,-467,1146,-1176,1
1184,-4792,18692,-520,1081,-1336,1
1104,-4836,18752,-601,907,-1456,1
1080,-4704,18672,-631,1173,-1732,1
920,-4664,18716,-716,991,-1661,1
1260,-4944,18820,-722,968,-1554,1
1244,-5052,18868,-637,1188,-1511,1
1184,-5080,18984,-532,1274,-1451,1
1280,-4980,18996,-545,1274,-1480,1
1056,-4732,18796,-664,1079,-1483,1
1224,-4668,18628,-821,932,-1604,1
1028,-4600,18548,-1153,845,-1696,1
1084,-4724,18444,-1413,754,-1839,1
520,-4824,18632,-1290,573,-2168,1
